scenario,level,method,nominal,empirical
S1_overlap,poor,bootstrap_snips,0.8,0.8140625
S1_overlap,poor,bootstrap_snips,0.9,0.906875
S1_overlap,poor,bootstrap_snips,0.95,0.9528125
S1_overlap,poor,bootstrap_snips,0.975,0.9784375
S1_overlap,poor,bootstrap_snips,0.99,0.99
S1_overlap,severe,bb_dm,0.5,0.10625
S1_overlap,severe,bb_dm,0.6,0.13425
S1_overlap,severe,bb_dm,0.7,0.159125
S1_overlap,severe,bb_dm,0.8,0.190125
S1_overlap,severe,bb_dm,0.9,0.22975
S1_overlap,severe,bb_dm,0.95,0.2595
S1_overlap,severe,bb_dm,0.975,0.281375
S1_overlap,severe,bb_dm,0.99,0.30275
S1_overlap,severe,bb_dr,0.5,0.4755
S1_overlap,severe,bb_dr,0.6,0.573125
S1_overlap,severe,bb_dr,0.7,0.674875
S1_overlap,severe,bb_dr,0.8,0.77225
S1_overlap,severe,bb_dr,0.9,0.88125
S1_overlap,severe,bb_dr,0.95,0.93925
S1_overlap,severe,bb_dr,0.975,0.96775
S1_overlap,severe,bb_dr,0.99,0.983
S1_overlap,severe,bootstrap_dr,0.5,0.480625
S1_overlap,severe,bootstrap_dr,0.6,0.578875
S1_overlap,severe,bootstrap_dr,0.7,0.680375
S1_overlap,severe,bootstrap_dr,0.8,0.779375
S1_overlap,severe,bootstrap_dr,0.9,0.8865
S1_overlap,severe,bootstrap_dr,0.95,0.9425
S1_overlap,severe,bootstrap_dr,0.975,0.96925
S1_overlap,severe,bootstrap_dr,0.99,0.984875
S1_overlap,severe,bootstrap_snips,0.5,0.487625
S1_overlap,severe,bootstrap_snips,0.6,0.5875
S1_overlap,severe,bootstrap_snips,0.7,0.686625
S1_overlap,severe,bootstrap_snips,0.8,0.79025
S1_overlap,severe,bootstrap_snips,0.9,0.89125
S1_overlap,severe,bootstrap_snips,0.95,0.9445
S1_overlap,severe,bootstrap_snips,0.975,0.96775
S1_overlap,severe,bootstrap_snips,0.99,0.984375
S2_rare_heterogeneous,balanced,bb_dm,0.5,0.1225
S2_rare_heterogeneous,balanced,bb_dm,0.6,0.150625
S2_rare_heterogeneous,balanced,bb_dm,0.7,0.18375
S2_rare_heterogeneous,balanced,bb_dm,0.8,0.210625
S2_rare_heterogeneous,balanced,bb_dm,0.9,0.2440625
S2_rare_heterogeneous,balanced,bb_dm,0.95,0.2721875
S2_rare_heterogeneous,balanced,bb_dm,0.975,0.289375
S2_rare_heterogeneous,balanced,bb_dm,0.99,0.3059375
S2_rare_heterogeneous,balanced,bb_dr,0.5,0.4934375
S2_rare_heterogeneous,balanced,bb_dr,0.6,0.598125
S2_rare_heterogeneous,balanced,bb_dr,0.7,0.6990625
S2_rare_heterogeneous,balanced,bb_dr,0.8,0.7871875
S2_rare_heterogeneous,balanced,bb_dr,0.9,0.8884375
S2_rare_heterogeneous,balanced,bb_dr,0.95,0.9434375
S2_rare_heterogeneous,balanced,bb_dr,0.975,0.9684375
S2_rare_heterogeneous,balanced,bb_dr,0.99,0.98625
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.5,0.0
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.6,0.0
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.7,0.0
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.8,0.0
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.9,0.0
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.95,0.0
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.975,0.0
S2_rare_heterogeneous,balanced,bb_dr_complete_pool,0.99,0.0
S2_rare_heterogeneous,balanced,bb_dr_independent,0.5,0.49125
S2_rare_heterogeneous,balanced,bb_dr_independent,0.6,0.5966666666666667
S2_rare_heterogeneous,balanced,bb_dr_independent,0.7,0.7
S2_rare_heterogeneous,balanced,bb_dr_independent,0.8,0.7870833333333334
S2_rare_heterogeneous,balanced,bb_dr_independent,0.9,0.88625
S2_rare_heterogeneous,balanced,bb_dr_independent,0.95,0.9441666666666667
S2_rare_heterogeneous,balanced,bb_dr_independent,0.975,0.9704166666666667
S2_rare_heterogeneous,balanced,bb_dr_independent,0.99,0.9870833333333333
S2_rare_heterogeneous,balanced,bootstrap_dr,0.5,0.495625
S2_rare_heterogeneous,balanced,bootstrap_dr,0.6,0.5996875
S2_rare_heterogeneous,balanced,bootstrap_dr,0.7,0.6996875
S2_rare_heterogeneous,balanced,bootstrap_dr,0.8,0.79125
S2_rare_heterogeneous,balanced,bootstrap_dr,0.9,0.8903125
S2_rare_heterogeneous,balanced,bootstrap_dr,0.95,0.943125
S2_rare_heterogeneous,balanced,bootstrap_dr,0.975,0.968125
S2_rare_heterogeneous,balanced,bootstrap_dr,0.99,0.986875
S2_rare_heterogeneous,balanced,bootstrap_snips,0.5,0.4915625
S2_rare_heterogeneous,balanced,bootstrap_snips,0.6,0.58625
S2_rare_heterogeneous,balanced,bootstrap_snips,0.7,0.695
S2_rare_heterogeneous,balanced,bootstrap_snips,0.8,0.791875
S2_rare_heterogeneous,balanced,bootstrap_snips,0.9,0.896875
S2_rare_heterogeneous,balanced,bootstrap_snips,0.95,0.94875
S2_rare_heterogeneous,balanced,bootstrap_snips,0.975,0.97375
S2_rare_heterogeneous,balanced,bootstrap_snips,0.99,0.98875
S2_rare_heterogeneous,balanced,hier_eb_dr,0.5,0.48583333333333334
S2_rare_heterogeneous,balanced,hier_eb_dr,0.6,0.5966666666666667
S2_rare_heterogeneous,balanced,hier_eb_dr,0.7,0.6975
S2_rare_heterogeneous,balanced,hier_eb_dr,0.8,0.7895833333333333
S2_rare_heterogeneous,balanced,hier_eb_dr,0.9,0.8904166666666666
S2_rare_heterogeneous,balanced,hier_eb_dr,0.95,0.9416666666666667
S2_rare_heterogeneous,balanced,hier_eb_dr,0.975,0.9683333333333334
S2_rare_heterogeneous,balanced,hier_eb_dr,0.99,0.9870833333333333
S2_rare_heterogeneous,mild,bb_dm,0.5,0.020625
S2_rare_heterogeneous,mild,bb_dm,0.6,0.0284375
S2_rare_heterogeneous,mild,bb_dm,0.7,0.0365625
S2_rare_heterogeneous,mild,bb_dm,0.8,0.04375
S2_rare_heterogeneous,mild,bb_dm,0.9,0.06
S2_rare_heterogeneous,mild,bb_dm,0.95,0.07625
S2_rare_heterogeneous,mild,bb_dm,0.975,0.09
S2_rare_heterogeneous,mild,bb_dm,0.99,0.1121875
S2_rare_heterogeneous,mild,bb_dr,0.5,0.4871875
S2_rare_heterogeneous,mild,bb_dr,0.6,0.5925
S2_rare_heterogeneous,mild,bb_dr,0.7,0.7009375
S2_rare_heterogeneous,mild,bb_dr,0.8,0.8009375
S2_rare_heterogeneous,mild,bb_dr,0.9,0.9059375
S2_rare_heterogeneous,mild,bb_dr,0.95,0.9546875
S2_rare_heterogeneous,mild,bb_dr,0.975,0.980625
S2_rare_heterogeneous,mild,bb_dr,0.99,0.9928125
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.5,0.0375
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.6,0.04833333333333333
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.7,0.059166666666666666
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.8,0.07791666666666666
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.9,0.11041666666666666
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.95,0.145
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.975,0.17083333333333334
S2_rare_heterogeneous,mild,bb_dr_complete_pool,0.99,0.20083333333333334
S2_rare_heterogeneous,mild,bb_dr_independent,0.5,0.4870833333333333
S2_rare_heterogeneous,mild,bb_dr_independent,0.6,0.595
S2_rare_heterogeneous,mild,bb_dr_independent,0.7,0.7058333333333333
S2_rare_heterogeneous,mild,bb_dr_independent,0.8,0.80875
S2_rare_heterogeneous,mild,bb_dr_independent,0.9,0.9095833333333333
S2_rare_heterogeneous,mild,bb_dr_independent,0.95,0.9554166666666667
S2_rare_heterogeneous,mild,bb_dr_independent,0.975,0.9816666666666667
S2_rare_heterogeneous,mild,bb_dr_independent,0.99,0.9933333333333333
S2_rare_heterogeneous,mild,bootstrap_dr,0.5,0.490625
S2_rare_heterogeneous,mild,bootstrap_dr,0.6,0.593125
S2_rare_heterogeneous,mild,bootstrap_dr,0.7,0.6996875
S2_rare_heterogeneous,mild,bootstrap_dr,0.8,0.8053125
S2_rare_heterogeneous,mild,bootstrap_dr,0.9,0.9075
S2_rare_heterogeneous,mild,bootstrap_dr,0.95,0.9553125
S2_rare_heterogeneous,mild,bootstrap_dr,0.975,0.9825
S2_rare_heterogeneous,mild,bootstrap_dr,0.99,0.9915625
S2_rare_heterogeneous,mild,bootstrap_snips,0.5,0.49375
S2_rare_heterogeneous,mild,bootstrap_snips,0.6,0.5996875
S2_rare_heterogeneous,mild,bootstrap_snips,0.7,0.698125
S2_rare_heterogeneous,mild,bootstrap_snips,0.8,0.7984375
S2_rare_heterogeneous,mild,bootstrap_snips,0.9,0.9040625
S2_rare_heterogeneous,mild,bootstrap_snips,0.95,0.9553125
S2_rare_heterogeneous,mild,bootstrap_snips,0.975,0.985
S2_rare_heterogeneous,mild,bootstrap_snips,0.99,0.99375
S2_rare_heterogeneous,mild,hier_eb_dr,0.5,0.4845833333333333
S2_rare_heterogeneous,mild,hier_eb_dr,0.6,0.5854166666666667
S2_rare_heterogeneous,mild,hier_eb_dr,0.7,0.6916666666666667
S2_rare_heterogeneous,mild,hier_eb_dr,0.8,0.8066666666666666
S2_rare_heterogeneous,mild,hier_eb_dr,0.9,0.89875
S2_rare_heterogeneous,mild,hier_eb_dr,0.95,0.9516666666666667
S2_rare_heterogeneous,mild,hier_eb_dr,0.975,0.9808333333333333
S2_rare_heterogeneous,mild,hier_eb_dr,0.99,0.9916666666666667
S2_rare_heterogeneous,rare,bb_dm,0.5,0.0246875
S2_rare_heterogeneous,rare,bb_dm,0.6,0.0315625
S2_rare_heterogeneous,rare,bb_dm,0.7,0.0390625
S2_rare_heterogeneous,rare,bb_dm,0.8,0.04875
S2_rare_heterogeneous,rare,bb_dm,0.9,0.0709375
S2_rare_heterogeneous,rare,bb_dm,0.95,0.0890625
S2_rare_heterogeneous,rare,bb_dm,0.975,0.1059375
S2_rare_heterogeneous,rare,bb_dm,0.99,0.1271875
S2_rare_heterogeneous,rare,bb_dr,0.5,0.5190625
S2_rare_heterogeneous,rare,bb_dr,0.6,0.6078125
S2_rare_heterogeneous,rare,bb_dr,0.7,0.7003125
S2_rare_heterogeneous,rare,bb_dr,0.8,0.7984375
S2_rare_heterogeneous,rare,bb_dr,0.9,0.891875
S2_rare_heterogeneous,rare,bb_dr,0.95,0.945
S2_rare_heterogeneous,rare,bb_dr,0.975,0.9659375
S2_rare_heterogeneous,rare,bb_dr,0.99,0.985625
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.5,0.0
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.6,0.0
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.7,0.0
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.8,0.0
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.9,0.0004166666666666667
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.95,0.0020833333333333333
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.975,0.005416666666666667
S2_rare_heterogeneous,rare,bb_dr_complete_pool,0.99,0.009166666666666667
S2_rare_heterogeneous,rare,bb_dr_independent,0.5,0.5275
S2_rare_heterogeneous,rare,bb_dr_independent,0.6,0.6075
S2_rare_heterogeneous,rare,bb_dr_independent,0.7,0.7054166666666667
S2_rare_heterogeneous,rare,bb_dr_independent,0.8,0.8004166666666667
S2_rare_heterogeneous,rare,bb_dr_independent,0.9,0.8954166666666666
S2_rare_heterogeneous,rare,bb_dr_independent,0.95,0.9470833333333334
S2_rare_heterogeneous,rare,bb_dr_independent,0.975,0.9683333333333334
S2_rare_heterogeneous,rare,bb_dr_independent,0.99,0.98625
S2_rare_heterogeneous,rare,bootstrap_dr,0.5,0.5196875
S2_rare_heterogeneous,rare,bootstrap_dr,0.6,0.6090625
S2_rare_heterogeneous,rare,bootstrap_dr,0.7,0.704375
S2_rare_heterogeneous,rare,bootstrap_dr,0.8,0.798125
S2_rare_heterogeneous,rare,bootstrap_dr,0.9,0.8934375
S2_rare_heterogeneous,rare,bootstrap_dr,0.95,0.943125
S2_rare_heterogeneous,rare,bootstrap_dr,0.975,0.9671875
S2_rare_heterogeneous,rare,bootstrap_dr,0.99,0.9853125
S2_rare_heterogeneous,rare,bootstrap_snips,0.5,0.5
S2_rare_heterogeneous,rare,bootstrap_snips,0.6,0.59875
S2_rare_heterogeneous,rare,bootstrap_snips,0.7,0.705
S2_rare_heterogeneous,rare,bootstrap_snips,0.8,0.8028125
S2_rare_heterogeneous,rare,bootstrap_snips,0.9,0.8990625
S2_rare_heterogeneous,rare,bootstrap_snips,0.95,0.94375
S2_rare_heterogeneous,rare,bootstrap_snips,0.975,0.97
S2_rare_heterogeneous,rare,bootstrap_snips,0.99,0.9840625
S2_rare_heterogeneous,rare,hier_eb_dr,0.5,0.505
S2_rare_heterogeneous,rare,hier_eb_dr,0.6,0.5970833333333333
S2_rare_heterogeneous,rare,hier_eb_dr,0.7,0.6945833333333333
S2_rare_heterogeneous,rare,hier_eb_dr,0.8,0.7845833333333333
S2_rare_heterogeneous,rare,hier_eb_dr,0.9,0.8833333333333333
S2_rare_heterogeneous,rare,hier_eb_dr,0.95,0.9383333333333334
S2_rare_heterogeneous,rare,hier_eb_dr,0.975,0.9645833333333333
S2_rare_heterogeneous,rare,hier_eb_dr,0.99,0.98
S2_rare_heterogeneous,severe,bb_dm,0.5,0.043125
S2_rare_heterogeneous,severe,bb_dm,0.6,0.0545
S2_rare_heterogeneous,severe,bb_dm,0.7,0.069875
S2_rare_heterogeneous,severe,bb_dm,0.8,0.08975
S2_rare_heterogeneous,severe,bb_dm,0.9,0.123375
S2_rare_heterogeneous,severe,bb_dm,0.95,0.155625
S2_rare_heterogeneous,severe,bb_dm,0.975,0.1835
S2_rare_heterogeneous,severe,bb_dm,0.99,0.21675
S2_rare_heterogeneous,severe,bb_dr,0.5,0.499875
S2_rare_heterogeneous,severe,bb_dr,0.6,0.601
S2_rare_heterogeneous,severe,bb_dr,0.7,0.701125
S2_rare_heterogeneous,severe,bb_dr,0.8,0.799625
S2_rare_heterogeneous,severe,bb_dr,0.9,0.897
S2_rare_heterogeneous,severe,bb_dr,0.95,0.946
S2_rare_heterogeneous,severe,bb_dr,0.975,0.971
S2_rare_heterogeneous,severe,bb_dr,0.99,0.98725
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.5,0.035166666666666666
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.6,0.04666666666666667
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.7,0.058333333333333334
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.8,0.07783333333333334
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.9,0.106
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.95,0.133
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.975,0.159
S2_rare_heterogeneous,severe,bb_dr_complete_pool,0.99,0.1865
S2_rare_heterogeneous,severe,bb_dr_independent,0.5,0.4965
S2_rare_heterogeneous,severe,bb_dr_independent,0.6,0.6005
S2_rare_heterogeneous,severe,bb_dr_independent,0.7,0.6988333333333333
S2_rare_heterogeneous,severe,bb_dr_independent,0.8,0.798
S2_rare_heterogeneous,severe,bb_dr_independent,0.9,0.895
S2_rare_heterogeneous,severe,bb_dr_independent,0.95,0.9438333333333333
S2_rare_heterogeneous,severe,bb_dr_independent,0.975,0.9691666666666666
S2_rare_heterogeneous,severe,bb_dr_independent,0.99,0.986
S2_rare_heterogeneous,severe,bootstrap_dr,0.5,0.50225
S2_rare_heterogeneous,severe,bootstrap_dr,0.6,0.60275
S2_rare_heterogeneous,severe,bootstrap_dr,0.7,0.70275
S2_rare_heterogeneous,severe,bootstrap_dr,0.8,0.80175
S2_rare_heterogeneous,severe,bootstrap_dr,0.9,0.899125
S2_rare_heterogeneous,severe,bootstrap_dr,0.95,0.94525
S2_rare_heterogeneous,severe,bootstrap_dr,0.975,0.971875
S2_rare_heterogeneous,severe,bootstrap_dr,0.99,0.986125
S2_rare_heterogeneous,severe,bootstrap_snips,0.5,0.508
S2_rare_heterogeneous,severe,bootstrap_snips,0.6,0.605375
S2_rare_heterogeneous,severe,bootstrap_snips,0.7,0.705
S2_rare_heterogeneous,severe,bootstrap_snips,0.8,0.79675
S2_rare_heterogeneous,severe,bootstrap_snips,0.9,0.896125
S2_rare_heterogeneous,severe,bootstrap_snips,0.95,0.948125
S2_rare_heterogeneous,severe,bootstrap_snips,0.975,0.96975
S2_rare_heterogeneous,severe,bootstrap_snips,0.99,0.986125
S2_rare_heterogeneous,severe,hier_eb_dr,0.5,0.4485
S2_rare_heterogeneous,severe,hier_eb_dr,0.6,0.547
S2_rare_heterogeneous,severe,hier_eb_dr,0.7,0.6415
S2_rare_heterogeneous,severe,hier_eb_dr,0.8,0.7411666666666666
S2_rare_heterogeneous,severe,hier_eb_dr,0.9,0.8368333333333333
S2_rare_heterogeneous,severe,hier_eb_dr,0.95,0.8966666666666666
S2_rare_heterogeneous,severe,hier_eb_dr,0.975,0.9248333333333333
S2_rare_heterogeneous,severe,hier_eb_dr,0.99,0.9448333333333333
S2_rare_homogeneous,balanced,bb_dm,0.5,0.0165625
S2_rare_homogeneous,balanced,bb_dm,0.6,0.02125
S2_rare_homogeneous,balanced,bb_dm,0.7,0.02625
S2_rare_homogeneous,balanced,bb_dm,0.8,0.0309375
S2_rare_homogeneous,balanced,bb_dm,0.9,0.039375
S2_rare_homogeneous,balanced,bb_dm,0.95,0.048125
S2_rare_homogeneous,balanced,bb_dm,0.975,0.056875
S2_rare_homogeneous,balanced,bb_dm,0.99,0.065
S2_rare_homogeneous,balanced,bb_dr,0.5,0.4978125
S2_rare_homogeneous,balanced,bb_dr,0.6,0.600625
S2_rare_homogeneous,balanced,bb_dr,0.7,0.6996875
S2_rare_homogeneous,balanced,bb_dr,0.8,0.7940625
S2_rare_homogeneous,balanced,bb_dr,0.9,0.89875
S2_rare_homogeneous,balanced,bb_dr,0.95,0.94625
S2_rare_homogeneous,balanced,bb_dr,0.975,0.9709375
S2_rare_homogeneous,balanced,bb_dr,0.99,0.98625
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.5,0.45875
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.6,0.5508333333333333
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.7,0.6454166666666666
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.8,0.75875
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.9,0.8654166666666666
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.95,0.93
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.975,0.9558333333333333
S2_rare_homogeneous,balanced,bb_dr_complete_pool,0.99,0.9775
S2_rare_homogeneous,balanced,bb_dr_independent,0.5,0.49833333333333335
S2_rare_homogeneous,balanced,bb_dr_independent,0.6,0.6020833333333333
S2_rare_homogeneous,balanced,bb_dr_independent,0.7,0.7041666666666667
S2_rare_homogeneous,balanced,bb_dr_independent,0.8,0.795
S2_rare_homogeneous,balanced,bb_dr_independent,0.9,0.8991666666666667
S2_rare_homogeneous,balanced,bb_dr_independent,0.95,0.9479166666666666
S2_rare_homogeneous,balanced,bb_dr_independent,0.975,0.9704166666666667
S2_rare_homogeneous,balanced,bb_dr_independent,0.99,0.9866666666666667
S2_rare_homogeneous,balanced,bootstrap_dr,0.5,0.4959375
S2_rare_homogeneous,balanced,bootstrap_dr,0.6,0.6021875
S2_rare_homogeneous,balanced,bootstrap_dr,0.7,0.6996875
S2_rare_homogeneous,balanced,bootstrap_dr,0.8,0.79875
S2_rare_homogeneous,balanced,bootstrap_dr,0.9,0.898125
S2_rare_homogeneous,balanced,bootstrap_dr,0.95,0.94875
S2_rare_homogeneous,balanced,bootstrap_dr,0.975,0.9709375
S2_rare_homogeneous,balanced,bootstrap_dr,0.99,0.986875
S2_rare_homogeneous,balanced,bootstrap_snips,0.5,0.4915625
S2_rare_homogeneous,balanced,bootstrap_snips,0.6,0.59375
S2_rare_homogeneous,balanced,bootstrap_snips,0.7,0.695
S2_rare_homogeneous,balanced,bootstrap_snips,0.8,0.795625
S2_rare_homogeneous,balanced,bootstrap_snips,0.9,0.895
S2_rare_homogeneous,balanced,bootstrap_snips,0.95,0.9471875
S2_rare_homogeneous,balanced,bootstrap_snips,0.975,0.975
S2_rare_homogeneous,balanced,bootstrap_snips,0.99,0.98875
S2_rare_homogeneous,balanced,hier_eb_dr,0.5,0.16791666666666666
S2_rare_homogeneous,balanced,hier_eb_dr,0.6,0.20333333333333334
S2_rare_homogeneous,balanced,hier_eb_dr,0.7,0.24833333333333332
S2_rare_homogeneous,balanced,hier_eb_dr,0.8,0.2920833333333333
S2_rare_homogeneous,balanced,hier_eb_dr,0.9,0.3491666666666667
S2_rare_homogeneous,balanced,hier_eb_dr,0.95,0.38916666666666666
S2_rare_homogeneous,balanced,hier_eb_dr,0.975,0.41333333333333333
